City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,wau,7.7029,27.9953,29.41,23,32,1.2,SS,1702232884
197,lebu,-37.6167,-73.65,15.94,69,100,9.44,CL,1702232884
198,rio grande,-32.035,-52.0986,26.06,81,88,8.52,BR,1702232870
199,akureyri,65.6835,-18.0878,-14.04,85,20,1.54,IS,1702232885
200,nuuk,64.1835,-51.7216,-2.66,80,40,2.06,GL,1702232885
201,tazovsky,67.4667,78.7,-30.73,93,68,3.77,RU,1702232885
202,montichiari,45.4152,10.3907,6.12,95,0,2.57,IT,1702232885
203,tamanrasset,22.785,5.5228,16.95,9,0,1.54,DZ,1702232886
204,senador jose porfirio,-2.5908,-51.9542,32.16,53,73,0.94,BR,1702232886
205,badiyah,22.45,58.8,19.62,49,0,1.29,OM,1702232886
206,port macquarie,-31.4333,152.9167,16.05,89,2,3.75,AU,1702232795
207,anloga,5.7947,0.8973,28.33,76,24,5.28,GH,1702232886
208,bairnsdale,-37.8333,147.6167,18.36,95,100,1.74,AU,1702232887
209,hermanus,-34.4187,19.2345,19.28,65,0,6.39,ZA,1702232887
210,saint-philippe,-21.3585,55.7679,26.77,87,97,6.11,RE,1702232887
211,zulpich,50.7,6.65,9.68,85,99,10.72,DE,1702232887
212,moree,-29.4667,149.85,20.85,64,0,4.96,AU,1702232887
213,richards bay,-28.783,32.0377,20.55,95,100,4.24,ZA,1702232888
214,aasiaat,68.7098,-52.8699,-5.82,95,100,7.64,GL,1702232888
215,peace river,56.2501,-117.286,3.17,69,75,6.69,CA,1702232888
216,ntcheu,-14.8203,34.6359,25.6,50,88,3.08,MW,1702232888
217,minas de marcona,-15.2119,-75.1103,22.16,54,95,5.06,PE,1702232888
218,sitka,57.0531,-135.33,1.94,87,40,2.57,US,1702232889
219,dudinka,69.4058,86.1778,-27.99,97,100,5.36,RU,1702232889
220,tsiombe,-25.3,45.4833,25.51,83,42,2.15,MG,1702232889
221,saldanha,-33.0117,17.9442,21.03,83,6,9.77,ZA,1702232889
222,keflavik,64.0049,-22.5624,1.24,80,75,5.14,IS,1702232889
223,puerto san jose,13.9256,-90.8244,30.02,57,3,2.27,GT,1702232890
224,sakaiminato,35.55,133.2333,13.99,82,75,10.29,JP,1702232890
225,stanley,54.868,-1.6985,5.95,96,75,2.06,GB,1702232890
226,holualoa,19.6228,-155.9522,25.48,70,0,5.14,US,1702232745
227,port lincoln,-34.7333,135.8667,15.84,95,100,10.03,AU,1702232890
228,mezhdurechenskiy,59.6,65.9333,-33.7,98,7,2.11,RU,1702232890
229,utrik,11.2278,169.8474,27.21,74,88,10.43,MH,1702232891
230,sosnogorsk,63.6023,53.8817,-30.81,100,87,1.34,RU,1702232891
231,garissa,-0.4536,39.6401,31.06,47,96,3.63,KE,1702232891
232,karpinsk,59.7654,60.0085,-32.09,100,100,1.22,RU,1702232891
233,vengerovo,55.6848,76.7471,-29.05,94,100,2.75,RU,1702232891
234,sinabang,2.4803,96.3801,26.03,87,71,1.81,ID,1702232892
235,acapulco de juarez,16.8634,-99.8901,30.9,66,75,1.54,MX,1702232892
236,blackwater,-23.5833,148.8833,20.53,76,2,5.57,AU,1702232892
237,nabire,-3.3667,135.4833,24.6,86,100,1.24,ID,1702232892
238,camargo,27.6667,-105.1667,8.77,28,0,0.98,MX,1702232892
239,ouani,-12.1322,44.4258,27.55,84,100,4.4,KM,1702232893
240,douliu,23.7094,120.5433,23.59,75,6,0.33,TW,1702232893
241,fort mcmurray,56.7268,-111.381,-5.23,79,100,1.03,CA,1702232893
242,fortuna,40.5982,-124.1573,10.19,87,0,1.79,US,1702232893
243,umluj,25.0213,37.2685,26.29,70,99,1.51,SA,1702232894
244,murghob,38.1702,73.9667,-17.43,69,23,2.08,TJ,1702232894
245,mugia,43.1041,-9.2179,17.87,87,100,11.14,ES,1702232894
246,nemuro,43.3236,145.575,-0.99,55,8,7.35,JP,1702232894
247,mount gambier,-37.8333,140.7667,14.5,88,100,7.15,AU,1702232895
248,slavyanka,42.8633,131.3847,-7.96,40,31,4.14,RU,1702232895
249,luderitz,-26.6481,15.1594,19.69,64,1,11.85,NA,1702232895
250,mokhsogollokh,61.4681,128.9203,-27.87,87,100,4.7,RU,1702232895
251,mahina,-17.5065,-149.489,28.87,70,20,0.51,PF,1702232895
252,sao joao da barra,-21.6403,-41.0511,25.05,72,91,3.58,BR,1702232857
253,newman,37.3138,-121.0208,11.8,59,100,1.03,US,1702232810
254,katabu,-4.9333,122.5167,25.09,90,96,0.86,ID,1702232896
255,xilin hot,43.9667,116.0333,-16.01,75,100,3.73,CN,1702232896
256,belmonte,-15.8631,-38.8828,28.46,64,43,4.48,BR,1702232897
257,igrim,63.1906,64.4162,-35.8,100,14,1.13,RU,1702232897
258,richfield,44.8833,-93.283,-3.57,83,100,3.6,US,1702232897
259,kindu,-2.95,25.95,21.79,99,91,1.13,CD,1702232897
260,rahimah,26.7079,50.0619,20.12,50,83,3.38,SA,1702232898
261,nicoya,10.1483,-85.452,31.27,62,35,3.12,CR,1702232898
262,chamical,-30.36,-66.314,32.66,24,0,9.13,AR,1702232898
263,yantarnyy,54.8717,19.9381,-1.08,93,100,7.82,RU,1702232898
264,yaren,-0.5472,166.916,28.29,75,66,1.87,NR,1702232898
265,vilyuchinsk,52.9306,158.4028,1.15,100,100,7.39,RU,1702232899
266,goroka,-6.0834,145.3873,16.32,98,100,1.14,PG,1702232899
267,mount pleasant,32.7941,-79.8626,25.05,77,75,8.23,US,1702232899
268,port alfred,-33.5906,26.891,16.77,90,36,0.45,ZA,1702232899
269,flying fish cove,-10.4217,105.6791,24.82,83,75,3.09,CX,1702232900
270,bodaybo,57.8506,114.1933,-31.5,99,100,0.06,RU,1702232900
271,rimus,16.8764,120.3966,25.79,77,53,1.35,PH,1702232900
272,hadibu,12.65,54.0333,25.08,71,14,5.97,YE,1702232900
273,afaahiti,-17.75,-149.2833,27.93,83,80,11.05,PF,1702232900
274,los llanos de aridane,28.6585,-17.9182,19.86,78,20,1.54,ES,1702232901
275,el bauga,18.262,33.9081,26.09,15,56,2.47,SD,1702232901
276,mont-dore,-22.2833,166.5833,18.99,76,100,2.78,NC,1702232901
277,crane,31.3974,-102.3501,8.3,31,3,4.35,US,1702232602
278,dakhla,23.6848,-15.958,22.01,68,86,3.09,EH,1702232902
279,bay roberts,47.5999,-53.2648,2.81,77,15,1.79,CA,1702232902
280,laguna,38.421,-121.4238,13.32,86,0,1.54,US,1702232902
281,sale,34.0389,-6.8166,22.58,94,2,3.09,MA,1702232902
